Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2020-01-02,67.176977721624,68.18681335449219,67.08132380627873,68.18681335449219,27278000,0.0,0.0,970572126.783412,0.162493,55941000000.0,5973000000.0,5973000000.0,40269000000.0,13697000000.0,84732000000.0,61914000000.0,48217000000.0,1730000000.0,135000000.0,1865000000.0,35266572126.78341,40269000000.0,141303000000.0,41224000000.0,13740553816.0,13616313872.0,2.930501,2.957501,40269000000.0,40269000000.0,40269000000.0,40269000000.0,40269000000.0,7813000000.0,48082000000.0,5128000000.0,-1246000000.0,0.0,401000000.0,5973000000.0,1730000000.0,135000000.0,1865000000.0,41224000000.0,56571000000.0,27573000000.0,28998000000.0,17946000000.0,11052000000.0,11052000000.0,97795000000.0,84732000000.0,182527000000.0,182527000000.0
2020-01-03,67.15655543577822,68.43940351728152,67.12267404619415,67.83010864257812,23408000,0.0,0.0,970572126.783412,0.162493,55941000000.0,5973000000.0,5973000000.0,40269000000.0,13697000000.0,84732000000.0,61914000000.0,48217000000.0,1730000000.0,135000000.0,1865000000.0,35266572126.78341,40269000000.0,141303000000.0,41224000000.0,13740553816.0,13616313872.0,2.930501,2.957501,40269000000.0,40269000000.0,40269000000.0,40269000000.0,40269000000.0,7813000000.0,48082000000.0,5128000000.0,-1246000000.0,0.0,401000000.0,5973000000.0,1730000000.0,135000000.0,1865000000.0,41224000000.0,56571000000.0,27573000000.0,28998000000.0,17946000000.0,11052000000.0,11052000000.0,97795000000.0,84732000000.0,182527000000.0,182527000000.0
2020-01-06,67.33738843542059,69.66345923216974,67.30600805367692,69.63805389404297,46768000,0.0,0.0,970572126.783412,0.162493,55941000000.0,5973000000.0,5973000000.0,40269000000.0,13697000000.0,84732000000.0,61914000000.0,48217000000.0,1730000000.0,135000000.0,1865000000.0,35266572126.78341,40269000000.0,141303000000.0,41224000000.0,13740553816.0,13616313872.0,2.930501,2.957501,40269000000.0,40269000000.0,40269000000.0,40269000000.0,40269000000.0,7813000000.0,48082000000.0,5128000000.0,-1246000000.0,0.0,401000000.0,5973000000.0,1730000000.0,135000000.0,1865000000.0,41224000000.0,56571000000.0,27573000000.0,28998000000.0,17946000000.0,11052000000.0,11052000000.0,97795000000.0,84732000000.0,182527000000.0,182527000000.0
2020-01-07,69.77008329725511,69.92153470711604,69.32669091744489,69.50354766845703,34330000,0.0,0.0,970572126.783412,0.162493,55941000000.0,5973000000.0,5973000000.0,40269000000.0,13697000000.0,84732000000.0,61914000000.0,48217000000.0,1730000000.0,135000000.0,1865000000.0,35266572126.78341,40269000000.0,141303000000.0,41224000000.0,13740553816.0,13616313872.0,2.930501,2.957501,40269000000.0,40269000000.0,40269000000.0,40269000000.0,40269000000.0,7813000000.0,48082000000.0,5128000000.0,-1246000000.0,0.0,401000000.0,5973000000.0,1730000000.0,135000000.0,1865000000.0,41224000000.0,56571000000.0,27573000000.0,28998000000.0,17946000000.0,11052000000.0,11052000000.0,97795000000.0,84732000000.0,182527000000.0,182527000000.0
2020-01-08,69.4890894151128,70.33751521494523,69.3799878535832,69.99824523925781,35314000,0.0,0.0,970572126.783412,0.162493,55941000000.0,5973000000.0,5973000000.0,40269000000.0,13697000000.0,84732000000.0,61914000000.0,48217000000.0,1730000000.0,135000000.0,1865000000.0,35266572126.78341,40269000000.0,141303000000.0,41224000000.0,13740553816.0,13616313872.0,2.930501,2.957501,40269000000.0,40269000000.0,40269000000.0,40269000000.0,40269000000.0,7813000000.0,48082000000.0,5128000000.0,-1246000000.0,0.0,401000000.0,5973000000.0,1730000000.0,135000000.0,1865000000.0,41224000000.0,56571000000.0,27573000000.0,28998000000.0,17946000000.0,11052000000.0,11052000000.0,97795000000.0,84732000000.0,182527000000.0,182527000000.0
2020-01-09,70.83969379325514,71.17597625297427,70.25581190329635,70.73308563232422,33200000,0.0,0.0,970572126.783412,0.162493,55941000000.0,5973000000.0,5973000000.0,40269000000.0,13697000000.0,84732000000.0,61914000000.0,48217000000.0,1730000000.0,135000000.0,1865000000.0,35266572126.78341,40269000000.0,141303000000.0,41224000000.0,13740553816.0,13616313872.0,2.930501,2.957501,40269000000.0,40269000000.0,40269000000.0,40269000000.0,40269000000.0,7813000000.0,48082000000.0,5128000000.0,-1246000000.0,0.0,401000000.0,5973000000.0,1730000000.0,135000000.0,1865000000.0,41224000000.0,56571000000.0,27573000000.0,28998000000.0,17946000000.0,11052000000.0,11052000000.0,97795000000.0,84732000000.0,182527000000.0,182527000000.0
2020-01-10,71.21533908846308,71.48784974028622,70.72362186567442,71.18992614746094,26258000,0.0,0.0,970572126.783412,0.162493,55941000000.0,5973000000.0,5973000000.0,40269000000.0,13697000000.0,84732000000.0,61914000000.0,48217000000.0,1730000000.0,135000000.0,1865000000.0,35266572126.78341,40269000000.0,141303000000.0,41224000000.0,13740553816.0,13616313872.0,2.930501,2.957501,40269000000.0,40269000000.0,40269000000.0,40269000000.0,40269000000.0,7813000000.0,48082000000.0,5128000000.0,-1246000000.0,0.0,401000000.0,5973000000.0,1730000000.0,135000000.0,1865000000.0,41224000000.0,56571000000.0,27573000000.0,28998000000.0,17946000000.0,11052000000.0,11052000000.0,97795000000.0,84732000000.0,182527000000.0,182527000000.0
2020-01-13,71.50328944184061,71.81366484523728,71.01107809709713,71.7414321899414,30730000,0.0,0.0,970572126.783412,0.162493,55941000000.0,5973000000.0,5973000000.0,40269000000.0,13697000000.0,84732000000.0,61914000000.0,48217000000.0,1730000000.0,135000000.0,1865000000.0,35266572126.78341,40269000000.0,141303000000.0,41224000000.0,13740553816.0,13616313872.0,2.930501,2.957501,40269000000.0,40269000000.0,40269000000.0,40269000000.0,40269000000.0,7813000000.0,48082000000.0,5128000000.0,-1246000000.0,0.0,401000000.0,5973000000.0,1730000000.0,135000000.0,1865000000.0,41224000000.0,56571000000.0,27573000000.0,28998000000.0,17946000000.0,11052000000.0,11052000000.0,97795000000.0,84732000000.0,182527000000.0,182527000000.0
2020-01-14,71.73993876603046,71.8709640363411,71.13064389247113,71.2711410522461,26076000,0.0,0.0,970572126.783412,0.162493,55941000000.0,5973000000.0,5973000000.0,40269000000.0,13697000000.0,84732000000.0,61914000000.0,48217000000.0,1730000000.0,135000000.0,1865000000.0,35266572126.78341,40269000000.0,141303000000.0,41224000000.0,13740553816.0,13616313872.0,2.930501,2.957501,40269000000.0,40269000000.0,40269000000.0,40269000000.0,40269000000.0,7813000000.0,48082000000.0,5128000000.0,-1246000000.0,0.0,401000000.0,5973000000.0,1730000000.0,135000000.0,1865000000.0,41224000000.0,56571000000.0,27573000000.0,28998000000.0,17946000000.0,11052000000.0,11052000000.0,97795000000.0,84732000000.0,182527000000.0,182527000000.0
2020-01-15,71.39219885923909,71.77879789678663,71.32444368341595,71.70008087158203,21550000,0.0,0.0,970572126.783412,0.162493,55941000000.0,5973000000.0,5973000000.0,40269000000.0,13697000000.0,84732000000.0,61914000000.0,48217000000.0,1730000000.0,135000000.0,1865000000.0,35266572126.78341,40269000000.0,141303000000.0,41224000000.0,13740553816.0,13616313872.0,2.930501,2.957501,40269000000.0,40269000000.0,40269000000.0,40269000000.0,40269000000.0,7813000000.0,48082000000.0,5128000000.0,-1246000000.0,0.0,401000000.0,5973000000.0,1730000000.0,135000000.0,1865000000.0,41224000000.0,56571000000.0,27573000000.0,28998000000.0,17946000000.0,11052000000.0,11052000000.0,97795000000.0,84732000000.0,182527000000.0,182527000000.0
